candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,wins_benchmark,stable_win
default,DMAtc.bench,1,1,1.0,0.0,94.562,0.0,94.562,0.0,False,10723.0,0.0,10723.0,0.0,0.0,35.05,0.0,44.85,-9.800000000000004,-21.85061315496099,-16.173000000000005,0.0,-17.153000000000006,0.9800000000000004,True,True
default,destc.bench,1,1,1.0,0.0,100.0,0.0,100.0,0.0,False,355.0,0.0,354.0,1.0,0.2824858757062147,20.367,0.0,33.1,-12.733,-38.468277945619334,94.4133,0.0,93.14999999999999,1.2633000000000152,True,True
default,pcitc.bench,1,1,1.0,0.0,99.826,0.0,99.826,0.0,False,5943.0,0.0,5944.0,-1.0,-0.016823687752355317,12.717,0.0,17.017,-4.299999999999999,-25.268848798260557,39.12429999999999,0.0,38.68429999999999,0.4399999999999977,True,True
hope_sim,DMAtc.bench,1,0,0.0,0.0,,0.0,94.562,,False,,0.0,10723.0,,,,0.0,44.85,,,,0.0,-17.153000000000006,,False,False
hope_sim,destc.bench,1,1,1.0,0.0,100.0,0.0,100.0,0.0,False,358.0,0.0,354.0,4.0,1.1299435028248588,51.083,0.0,33.1,17.982999999999997,54.32930513595166,91.3117,0.0,93.14999999999999,-1.8382999999999896,False,False
hope_sim,pcitc.bench,1,0,0.0,0.0,,0.0,99.826,,False,,0.0,5944.0,,,,0.0,17.017,,,,0.0,38.68429999999999,,False,False
no_compaction,DMAtc.bench,1,1,1.0,0.0,94.562,0.0,94.562,0.0,False,12557.0,0.0,10723.0,1834.0,17.103422549659612,30.1,0.0,44.85,-14.75,-32.88740245261984,-34.01800000000001,0.0,-17.153000000000006,-16.865000000000002,False,False
no_compaction,destc.bench,1,1,1.0,0.0,100.0,0.0,100.0,0.0,False,477.0,0.0,354.0,123.0,34.74576271186441,10.633,0.0,33.1,-22.467000000000002,-67.8761329305136,94.1667,0.0,93.14999999999999,1.0167000000000144,True,True
no_compaction,pcitc.bench,1,1,1.0,0.0,99.826,0.0,99.826,0.0,False,7069.0,0.0,5944.0,1125.0,18.92664872139973,11.15,0.0,17.017,-5.866999999999999,-34.47728741846389,28.020999999999997,0.0,38.68429999999999,-10.663299999999996,False,False
phase2_b10,DMAtc.bench,1,1,1.0,0.0,94.562,0.0,94.562,0.0,False,10724.0,0.0,10723.0,1.0,0.009325748391308402,43.15,0.0,44.85,-1.7000000000000028,-3.790412486064666,-16.993000000000013,0.0,-17.153000000000006,0.15999999999999304,True,True
phase2_b10,destc.bench,1,1,1.0,0.0,100.0,0.0,100.0,0.0,False,345.0,0.0,354.0,-9.0,-2.5423728813559325,25.133,0.0,33.1,-7.967000000000002,-24.069486404833842,94.0367,0.0,93.14999999999999,0.8867000000000047,True,True
phase2_b10,pcitc.bench,1,1,1.0,0.0,99.826,0.0,99.826,0.0,False,5944.0,0.0,5944.0,0.0,0.0,13.783,0.0,17.017,-3.234,-19.00452488687783,39.00769999999999,0.0,38.68429999999999,0.32339999999999947,True,True
phase2_b10_learning,DMAtc.bench,1,1,1.0,0.0,94.562,0.0,94.562,0.0,False,10724.0,0.0,10723.0,1.0,0.009325748391308402,44.55,0.0,44.85,-0.30000000000000426,-0.6688963210702435,-17.13300000000001,0.0,-17.153000000000006,0.01999999999999602,True,True
phase2_b10_learning,destc.bench,1,1,1.0,0.0,100.0,0.0,100.0,0.0,False,350.0,0.0,354.0,-4.0,-1.1299435028248588,23.8,0.0,33.1,-9.3,-28.09667673716012,94.12,0.0,93.14999999999999,0.9700000000000131,True,True
phase2_b10_learning,pcitc.bench,1,1,1.0,0.0,99.826,0.0,99.826,0.0,False,5943.0,0.0,5944.0,-1.0,-0.016823687752355317,14.45,0.0,17.017,-2.567,-15.084915084915087,38.95099999999999,0.0,38.68429999999999,0.26670000000000016,True,True
phase2_b20,DMAtc.bench,1,1,1.0,0.0,94.562,0.0,94.562,0.0,False,10722.0,0.0,10723.0,-1.0,-0.009325748391308402,47.1,0.0,44.85,2.25,5.016722408026756,-17.368000000000002,0.0,-17.153000000000006,-0.2149999999999963,False,False
phase2_b20,destc.bench,1,1,1.0,0.0,100.0,0.0,100.0,0.0,False,347.0,0.0,354.0,-7.0,-1.977401129943503,19.883,0.0,33.1,-13.217000000000002,-39.93051359516617,94.5417,0.0,93.14999999999999,1.3917000000000144,True,True
phase2_b20,pcitc.bench,1,1,1.0,0.0,99.826,0.0,99.826,0.0,False,5945.0,0.0,5944.0,1.0,0.016823687752355317,13.383,0.0,17.017,-3.6340000000000003,-21.355115472762535,39.037699999999994,0.0,38.68429999999999,0.3534000000000006,True,True
reverse_only_compaction,DMAtc.bench,1,1,1.0,0.0,94.562,0.0,94.562,0.0,False,10957.0,0.0,10723.0,234.0,2.182225123566166,30.483,0.0,44.85,-14.367,-32.03344481605351,-18.05630000000001,0.0,-17.153000000000006,-0.9033000000000051,False,False
reverse_only_compaction,destc.bench,1,1,1.0,0.0,100.0,0.0,100.0,0.0,False,420.0,0.0,354.0,66.0,18.64406779661017,11.15,0.0,33.1,-21.950000000000003,-66.3141993957704,94.685,0.0,93.14999999999999,1.5350000000000108,True,True
reverse_only_compaction,pcitc.bench,1,1,1.0,0.0,99.826,0.0,99.826,0.0,False,6022.0,0.0,5944.0,78.0,1.3122476446837146,11.217,0.0,17.017,-5.799999999999999,-34.08356349532819,38.4843,0.0,38.68429999999999,-0.19999999999999574,False,False
static_learning,DMAtc.bench,1,1,1.0,0.0,94.562,0.0,94.562,0.0,False,10721.0,0.0,10723.0,-2.0,-0.018651496782616805,39.2,0.0,44.85,-5.649999999999999,-12.59754738015607,-16.568000000000012,0.0,-17.153000000000006,0.5849999999999937,True,True
static_learning,destc.bench,1,1,1.0,0.0,100.0,0.0,100.0,0.0,False,345.0,0.0,354.0,-9.0,-2.5423728813559325,26.133,0.0,33.1,-6.967000000000002,-21.048338368580065,93.9367,0.0,93.14999999999999,0.7867000000000104,True,True
static_learning,pcitc.bench,1,1,1.0,0.0,99.826,0.0,99.826,0.0,False,5944.0,0.0,5944.0,0.0,0.0,13.85,0.0,17.017,-3.167,-18.61080096374214,39.001,0.0,38.68429999999999,0.3167000000000044,True,True
