candidate,benchmark,trials,successful_runs,success_rate,timeout_rate,coverage_mean,coverage_std,baseline_coverage_mean,coverage_delta_mean,coverage_below_baseline,patterns_mean,patterns_std,baseline_patterns_mean,pattern_delta_mean,pattern_delta_pct_mean,runtime_mean,runtime_std,baseline_runtime_mean,runtime_delta_mean,runtime_delta_pct_mean,score_mean,score_std,baseline_score_mean,score_delta_mean,wins_benchmark,runtime_win,stable_win
compaction_c1_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10723.666666666666,2.0816659994661326,10723.333333333334,0.3333333333321207,0.003108486167225247,36.34966666666667,0.778352961922373,37.41133333333333,-1.0616666666666603,-2.8378209811643362,-16.309633333333338,0.05751811308912212,-16.412466666666674,0.10283333333333644,True,True,True
compaction_c1_learning,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,354.3333333333333,6.429100507328637,347.3333333333333,7.0,2.015355086372361,21.938999999999997,3.52222415527462,22.91633333333333,-0.977333333333334,-4.264789306026273,94.26276666666668,0.28851336768567487,94.23503333333333,0.02773333333334449,True,True,False
compaction_c1_learning,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.0,1.0,5943.0,1.0,0.016826518593303048,13.616666666666665,0.3873271657569777,13.582999999999998,0.033666666666666956,0.24785884316179752,39.024333333333324,0.0334248909247789,39.037699999999994,-0.013366666666669857,False,False,False
phase1_b20_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10722.666666666666,0.5773502691896257,10723.333333333334,-0.6666666666678793,-0.00621697233448442,43.510999999999996,0.7804178368028231,37.41133333333333,6.099666666666664,16.304328456617416,-17.015766666666668,0.07349730153776436,-16.412466666666674,-0.6032999999999937,False,False,False
phase1_b20_learning,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,350.0,6.082762530298219,347.3333333333333,2.6666666666666856,0.7677543186180478,24.161,1.3025025911682466,22.91633333333333,1.2446666666666708,5.431351728752437,94.08390000000001,0.07220893296538865,94.23503333333333,-0.1511333333333198,False,False,False
phase1_b20_learning,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.0,1.0,5943.0,1.0,0.016826518593303048,13.855666666666666,0.1633901261806638,13.582999999999998,0.2726666666666677,2.007411224815341,39.00043333333332,0.01915628704455696,39.037699999999994,-0.03726666666667455,False,False,False
phase2_b20_learning_seed1,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10723.0,0.0,10723.333333333334,-0.33333333333393966,-0.00310848616724221,50.91133333333334,0.5823197861427437,37.41133333333333,13.500000000000007,36.085321738510636,-17.75913333333334,0.05823197861427388,-16.412466666666674,-1.3466666666666676,False,False,False
phase2_b20_learning_seed1,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,348.0,0.0,347.3333333333333,0.6666666666666856,0.19193857965451602,25.405666666666672,0.08213606597185685,22.91633333333333,2.4893333333333416,10.862703457504875,93.97943333333335,0.008213606597186176,94.23503333333333,-0.25559999999998695,False,False,False
phase2_b20_learning_seed1,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5943.0,0.0,5943.0,0.0,0.0,13.961,0.11068875281617345,13.582999999999998,0.3780000000000019,2.7828903776779943,38.9999,0.011068875281616286,39.037699999999994,-0.03779999999999717,False,False,False
phase2_b5_learning,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10724.0,1.0,10723.333333333334,0.6666666666660603,0.006216972334467457,42.70566666666667,1.008115238121779,37.41133333333333,5.294333333333341,14.151683090685555,-16.948566666666675,0.09830037300709613,-16.412466666666674,-0.5361000000000011,False,False,False
phase2_b5_learning,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,348.6666666666667,1.5275252316519468,347.3333333333333,1.3333333333333712,0.38387715930903205,26.016666666666666,0.38140835509114696,22.91633333333333,3.100333333333335,13.528924057077205,93.91166666666668,0.04087448266746935,94.23503333333333,-0.3233666666666579,False,False,False
phase2_b5_learning,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,5944.333333333333,0.5773502691896257,5943.0,1.3333333333330302,0.02243535812439896,13.955666666666666,0.15160914660182415,13.582999999999998,0.37266666666666737,2.7436256104444334,38.9871,0.01935251921585502,39.037699999999994,-0.05059999999999576,False,False,False
reverse_phase2_b10,DMAtc.bench,3,3,1.0,0.0,94.562,0.0,94.562,0.0,False,10957.0,0.0,10723.333333333334,233.66666666666606,2.17904880323282,40.055666666666674,0.18302003533311148,37.41133333333333,2.6443333333333428,7.068268082755696,-19.013566666666676,0.018302003533311555,-16.412466666666674,-2.6011000000000024,False,False,False
reverse_phase2_b10,destc.bench,3,3,1.0,0.0,100.0,0.0,100.0,0.0,False,420.0,0.0,347.3333333333333,72.66666666666669,20.92130518234166,12.083333333333334,0.485626742811115,22.91633333333333,-10.832999999999997,-47.27196031942282,94.59166666666665,0.048562674281110794,94.23503333333333,0.3566333333333205,True,True,True
reverse_phase2_b10,pcitc.bench,3,3,1.0,0.0,99.82599999999998,0.0,99.82599999999998,0.0,False,6022.0,0.0,5943.0,79.0,1.3292949688709406,11.638666666666666,0.18747355369046984,13.582999999999998,-1.9443333333333328,-14.314461704581705,38.44213333333333,0.01874735536904903,39.037699999999994,-0.595566666666663,False,True,False
